total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,product_interest_level,meeting_outcome,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,objection_budget_not_allocated,objection_competitor_preference,objection_lack_of_internal_buy_in,objection_long_implementation_time,objection_missing_features,objection_no_urgent_business_need,objection_poor_past_experience_support,objection_price_too_high,objection_security_compliance_concerns,objection_unfavorable_contract_terms,num_objections,customer_requirements_API / Technical Integration,customer_requirements_Basic Feature Set,customer_requirements_Compliance-driven Requirements,customer_requirements_Customized Integration,customer_requirements_Enterprise-grade Security,customer_requirements_Multi-department Rollout,customer_requirements_Scalable Infrastructure,customer_requirements_Standard Package,risk_factors_Budget Constraints,risk_factors_Competitor Pressure,risk_factors_Economic Uncertainty,risk_factors_Internal Politics,risk_factors_No Risk Identified,risk_factors_Stakeholder Turnover,risk_factors_Technical Concerns,risk_factors_Timeline Conflict
8,85.8,2,3,8,2,2,4,3,4,0,0.91340206185567,0,0,87,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,75.2,2,2,9,3,2,1,2,2,1,0.6721649484536082,3,0,73,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,49.0,2,2,10,3,2,3,2,3,1,0.8927835051546391,3,1,84,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,97.0,1,3,5,0,1,4,3,3,0,0.8989690721649485,2,1,49,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,43.7,2,3,8,0,1,3,3,3,0,0.9670103092783504,3,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,9.8,0,1,1,0,0,3,1,1,0,0.6371134020618556,2,0,31,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,43.9,1,2,3,0,2,2,2,0,1,0.6020618556701031,0,1,24,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,19.5,1,2,8,3,2,2,4,2,0,0.5,1,0,65,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,13.3,0,2,3,1,0,4,3,2,0,0.8876288659793813,3,0,39,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
13,93.3,1,3,4,3,2,2,4,2,0,0.36082474226804123,3,0,73,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,47.1,0,3,3,3,1,3,2,0,1,0.0030927835051546386,2,0,46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,49.3,0,2,1,3,0,3,2,0,0,0.4938144329896907,1,0,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,65.5,1,2,6,1,1,3,4,1,1,0.8474226804123711,1,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,55.8,2,1,10,2,2,1,1,4,0,0.5072164948453608,0,0,55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,89.3,1,2,4,2,1,1,4,4,0,0.9876288659793814,2,0,55,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,60.6,0,1,8,1,0,1,1,0,1,0.7329896907216493,1,0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,59.3,1,2,3,2,2,4,3,2,0,0.27422680412371137,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9,5.6,1,2,2,0,1,2,2,2,0,0.4381443298969072,0,0,30,1,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,24.1,1,1,5,2,0,3,1,1,0,0.12989690721649483,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,77.4,1,2,6,2,2,1,3,3,0,0.7731958762886597,2,0,60,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,98.9,1,1,8,3,2,2,2,1,0,0.3061855670103093,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,42.8,2,2,8,1,1,2,4,2,1,0.3443298969072165,3,1,53,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,77.8,2,1,9,3,2,3,2,2,0,0.36391752577319586,3,0,66,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,93.2,2,3,5,3,2,4,4,3,0,0.9536082474226804,2,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,56.9,1,1,8,2,1,2,1,2,1,0.924742268041237,2,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,90.1,1,3,6,2,1,4,3,1,0,0.5783505154639175,0,1,57,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8,88.3,1,2,4,0,1,2,3,2,1,0.33608247422680415,2,0,40,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,10.3,1,2,9,2,1,3,1,1,0,0.51340206185567,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,24.0,1,3,8,1,1,4,2,1,0,0.422680412371134,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,33.7,0,3,3,3,0,1,3,0,0,0.4670103092783505,2,1,44,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,34.8,0,2,3,2,0,2,3,0,0,0.556701030927835,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,74.8,0,3,3,3,1,1,4,3,0,0.5020618556701031,2,0,62,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,53.4,2,2,10,2,2,1,4,4,0,0.7422680412371133,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,72.5,1,2,1,0,0,2,3,2,0,0.08969072164948454,3,1,39,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12,85.1,2,1,6,2,2,2,2,4,0,0.7268041237113402,1,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,14.5,2,3,6,2,2,1,4,2,0,0.21443298969072164,0,1,51,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,59.7,2,3,8,3,2,2,3,3,1,0.8061855670103093,3,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,64.5,2,2,10,3,2,2,3,3,0,0.4484536082474227,1,0,71,0,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,58.8,1,2,4,3,2,3,1,1,0,0.7206185567010309,3,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,27.9,0,2,5,0,1,1,3,2,0,0.30515463917525776,1,1,41,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,87.3,2,3,8,3,2,2,3,4,0,0.2618556701030928,3,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,84.2,1,3,9,2,2,3,4,3,0,0.44742268041237115,2,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10,62.6,2,2,6,2,1,4,2,4,0,0.768041237113402,3,0,65,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,87.0,2,3,9,2,2,3,4,4,0,0.911340206185567,1,1,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,87.4,2,2,8,3,2,2,3,4,0,0.6649484536082474,2,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,7.9,0,2,2,2,0,3,2,0,0,0.009278350515463916,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,66.1,2,2,6,2,2,4,4,3,1,0.5360824742268041,1,1,62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,41.0,2,2,9,1,2,1,4,4,0,0.4123711340206186,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,76.8,1,2,10,2,2,1,3,3,0,0.8340206185567011,0,1,70,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,65.0,0,2,1,3,0,2,3,1,0,0.02474226804123712,2,1,42,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,31.9,0,2,4,1,2,1,3,2,0,0.611340206185567,3,0,54,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,21.0,2,3,8,2,2,4,2,3,1,0.6278350515463917,1,0,77,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,93.4,0,3,8,2,1,2,3,4,0,0.42061855670103093,3,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,84.6,1,2,3,0,1,2,4,3,1,0.34639175257731963,0,0,37,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,25.5,1,2,8,0,2,3,2,2,0,0.2793814432989691,1,0,35,0,0,0,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,59.2,2,3,6,1,1,2,3,4,1,0.16391752577319585,1,1,50,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,31.1,0,3,4,1,0,3,1,0,0,0.802061855670103,0,0,26,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,80.4,0,2,9,2,1,2,3,3,1,0.656701030927835,2,0,57,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,68.1,2,3,9,1,2,4,3,4,0,0.27835051546391754,0,0,58,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,3.9,2,1,8,1,2,1,1,1,1,0.46082474226804127,3,0,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,94.2,1,2,8,2,1,1,3,3,0,0.6463917525773195,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,97.9,1,1,6,3,2,1,2,2,0,0.09278350515463918,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,67.8,2,1,8,3,2,1,4,4,0,0.9721649484536081,2,1,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,58.9,1,2,1,2,2,3,1,4,0,0.43608247422680413,2,1,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,50.5,1,3,4,0,1,2,4,3,1,0.588659793814433,2,0,37,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,32.8,0,3,4,2,1,2,3,3,1,0.26597938144329897,3,1,65,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,84.9,2,3,8,2,1,1,3,3,1,0.9639175257731958,3,0,72,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,90.7,2,2,9,3,2,1,1,4,1,0.9711340206185567,2,0,62,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,7.0,0,1,1,0,0,3,1,0,1,0.09690721649484536,3,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7,13.2,1,1,5,1,1,3,1,2,1,0.21649484536082472,0,0,18,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,69.2,2,1,8,2,2,4,1,0,0,0.020618556701030927,0,1,57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,61.1,2,2,7,1,2,2,2,3,1,0.17835051546391753,2,1,54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,82.2,2,1,3,1,1,2,1,2,0,0.03814432989690722,0,0,43,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,6.1,0,2,5,3,1,4,2,1,0,0.5288659793814432,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,19.2,1,2,3,1,0,3,3,3,0,0.42577319587628865,0,1,36,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,21.9,0,1,1,3,0,2,1,0,1,0.00824742268041237,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,61.8,0,1,5,3,1,2,2,1,1,0.7402061855670102,3,0,49,0,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,66.4,1,2,7,3,0,3,2,1,0,0.28453608247422685,2,0,54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,46.5,1,3,6,2,1,2,4,2,0,0.5319587628865979,2,1,67,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,94.2,2,1,6,2,1,3,3,3,1,0.4587628865979382,2,1,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,50.6,0,1,3,3,1,4,1,1,1,0.7216494845360825,0,0,43,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,83.2,1,1,4,1,1,2,3,0,1,0.28350515463917525,2,1,41,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,26.4,1,1,2,3,0,1,2,0,0,0.05463917525773196,1,0,42,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,74.9,1,2,3,3,0,1,1,1,0,0.38453608247422677,3,0,47,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,21.6,1,1,3,0,0,1,2,3,0,0.22474226804123712,3,0,39,1,0,1,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,51.6,1,2,8,3,2,2,2,2,0,0.2515463917525773,2,0,56,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,88.6,0,3,2,2,0,3,2,2,0,0.1020618556701031,2,1,51,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,53.3,2,1,6,3,2,3,3,3,1,0.23505154639175255,0,1,47,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,17.5,0,2,3,0,0,3,1,0,0,0.31030927835051547,0,0,15,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,63.6,0,2,4,0,1,2,1,1,1,0.6886597938144329,3,1,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,98.5,2,3,9,2,2,4,4,4,0,0.454639175257732,3,0,86,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,15.3,0,3,3,1,0,3,3,1,0,0.050515463917525774,2,1,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,31.8,0,3,6,1,1,4,3,2,0,0.5731958762886598,0,1,39,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,34.2,0,1,1,2,0,2,1,0,1,0.25876288659793817,0,0,18,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,25.0,0,3,1,0,0,3,4,0,0,0.08659793814432991,1,1,42,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,52.6,2,1,10,3,2,2,3,4,0,0.7092783505154638,1,1,67,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,42.7,0,1,3,1,1,3,2,3,0,0.8494845360824742,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,95.0,1,2,8,1,1,1,3,3,0,0.9556701030927834,3,0,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,73.8,0,3,2,3,0,3,4,1,0,0.36701030927835054,2,1,49,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,38.4,0,2,1,2,0,3,3,1,0,0.08041237113402062,2,1,35,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,37.4,0,2,2,1,0,2,3,0,0,0.4144329896907217,2,0,39,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,45.9,2,1,8,1,2,1,1,4,1,0.7329896907216493,2,0,49,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,86.2,2,2,9,2,2,3,3,4,0,0.5463917525773195,0,0,66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,80.8,2,2,8,2,1,1,1,4,0,0.9896907216494845,3,0,59,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,91.0,2,2,9,2,2,2,3,4,1,0.779381443298969,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10,77.0,2,1,6,3,2,2,3,4,1,0.8319587628865979,1,1,64,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,46.1,0,3,3,0,1,2,4,1,0,0.31752577319587627,3,0,57,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,69.4,2,1,9,1,2,1,3,1,0,0.7618556701030927,0,0,45,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,35.7,2,1,9,3,2,1,1,1,0,0.03505154639175258,2,1,48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,45.7,1,1,5,0,1,1,1,0,1,0.3690721649484536,3,0,34,1,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,41.6,2,2,7,3,1,3,2,4,1,0.40927835051546396,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,40.3,0,3,4,3,0,4,3,2,1,0.6360824742268041,2,0,54,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,22.3,1,3,4,2,2,1,2,4,0,0.8680412371134021,1,1,52,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,73.3,2,3,7,3,1,2,4,4,0,0.4391752577319588,3,0,64,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,39.8,0,1,9,2,1,2,1,3,0,0.8154639175257731,1,0,43,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,9.1,1,1,6,1,1,1,3,3,0,0.9010309278350516,2,1,43,1,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,63.2,0,3,4,3,2,3,4,3,1,0.8907216494845361,2,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,32.0,0,3,2,2,0,1,4,2,0,0.7546391752577319,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,89.5,0,2,2,1,0,3,3,0,1,0.21237113402061855,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,72.8,1,3,5,3,2,2,3,2,1,0.11649484536082476,2,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,33.4,0,2,1,1,0,2,1,0,1,0.025773195876288662,2,0,24,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,3.3,0,1,1,0,0,2,1,2,1,0.9865979381443298,1,0,14,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,46.0,2,2,5,2,2,3,2,4,0,0.22783505154639175,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,71.7,1,3,8,1,2,3,4,4,0,0.023711340206185563,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,86.4,0,1,8,1,0,3,2,2,0,0.23298969072164946,1,0,20,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,18.3,0,1,1,2,0,2,3,2,0,0.2360824742268041,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,60.6,1,3,6,2,1,2,4,3,0,0.9402061855670103,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,53.4,0,3,4,3,1,1,3,1,1,0.11237113402061856,3,0,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,32.7,2,1,9,3,2,1,1,1,1,0.6319587628865979,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
